State,Year,Inflation Adjusted Total Spending,Num Students,Num Teachers,Population,Personal Income,NAEP Scores,Effort,Alternative Effort,Alternative Effort Ranked,Effort Ranked,Inflation Adjusted Exp Per Student
Maryland,1977,5920190344,836912,42637,3961033,151159889207,,4.79,4.52,32.0,34.0,7073.850469344447
Massachusetts,1977,8926906234,1116810,66224,5276516,187692095373,,5.97,5.49,5.0,4.0,7993.218393459944
Michigan,1977,14643464312,1968975,87452,8598619,307039844021,,5.86,5.5,4.0,5.0,7437.100172424739
Minnesota,1977,5966212426,836420,44631,3666039,128351464460,,5.82,5.36,8.0,7.0,7133.034152698405
Mississippi,1977,2351404885,502025,24831,2284735,56023026451,,5.21,4.84,19.0,18.0,4683.840217120662
Missouri,1977,4849191687,931232,49618,4425621,145128882578,,4.22,3.86,49.0,47.0,5207.286355065118
Montana,1977,1156120129,168732,9650,720005,22023724432,,6.49,6.06,2.0,1.0,6851.8131059905645
Nebraska,1977,1900808296,306207,17943,1416405,46917197909,,5.13,4.68,25.0,24.0,6207.592563200711
Nevada,1977,829709867,143444,6391,647835,25328617766,,3.96,3.78,50.0,51.0,5784.207544407574
New Hampshire,1977,895087855,174618,9600,808947,26042559467,,4.27,3.97,45.0,45.0,5125.977018405892
New Jersey,1977,11513544473,1381528,78701,6821797,266095181550,,5.37,4.99,11.0,12.0,8333.920465600408
New Mexico,1977,1577690534,281896,13832,1162241,33132826779,,5.79,5.49,6.0,8.0,5596.711319068025
New York,1977,29683935754,3222612,174991,16472292,617084598749,,6.02,5.55,3.0,3.0,9211.141693135878
North Carolina,1977,5851611955,1181831,53836,5329970,149178224320,,4.81,4.53,31.0,32.0,4951.310259250265
North Dakota,1977,747800308,125085,7389,598244,18054462798,,5.19,4.78,22.0,21.0,5978.337194707598
Ohio,1977,12102195795,2181979,105286,10039607,340646372178,,4.4,4.1,44.0,43.0,5546.43092119585
Oklahoma,1977,3139022180,594468,31177,2629252,81757552911,,4.83,4.43,35.0,31.0,5280.388818237483
Oregon,1977,3437077805,473279,24312,2258389,79708942749,,5.37,4.98,12.0,13.0,7262.265608657895
Pennsylvania,1977,15210921607,2128873,112956,10949887,377834472559,,5.04,4.65,26.0,27.0,7145.058257115385
Rhode Island,1977,1200561197,166629,9112,876017,29086874672,,5.19,4.76,23.0,22.0,7204.995510985483
South Carolina,1977,2989677781,620723,29666,2832932,74540174316,,4.88,4.63,28.0,29.0,4816.444341517875
South Dakota,1977,762033269,143630,8072,628276,18908226909,,5.1,4.65,27.0,25.0,5305.529965884564
Tennessee,1977,4183158953,878424,40029,4096728,115145025959,,4.5,4.19,39.0,39.0,4762.11824016648
Texas,1977,15559201280,2842842,147544,12379300,398191344379,,4.81,4.51,33.0,33.0,5473.115030662977
Utah,1977,1574447921,317332,12871,1252848,35762759205,,5.34,5.08,10.0,14.0,4961.516396077294
Vermont,1977,620897094,102934,6170,455145,13219997038,,5.86,5.42,7.0,6.0,6031.992286319389
Virginia,1977,5737195679,1082184,60082,4913280,167919088041,,4.18,3.94,47.0,49.0,5301.497415411797
Washington,1977,5459336353,776463,33691,3517141,128856943658,,5.24,4.89,17.0,16.0,7031.032197284352
West Virginia,1977,2090591343,401369,20674,1760162,48545069728,,5.38,4.97,14.0,11.0,5208.6517468962475
Wisconsin,1977,6145933778,917863,52940,4255002,144950926783,,5.3,4.89,18.0,15.0,6695.916251118087
Wyoming,1977,644869407,92321,5541,389064,14302561456,,5.5,5.2,9.0,9.0,6985.078227055599
Alabama,1978,4021558385,761666,40771,3566170,100494799893,,5.08,4.72,21.0,21.0,5279.949984638936
Alaska,1978,1205163316,90728,5057,396316,20764909205,,6.95,6.85,1.0,1.0,13283.256723392999
Arizona,1978,2935510966,509830,25654,2344979,77570869971,,4.8,4.47,31.0,30.0,5757.823129278387
Arkansas,1978,2072017662,456698,23112,2045303,58174583194,,4.61,4.2,37.0,34.0,4536.953658654078
California,1978,30349012106,4187967,207000,21340889,875030394667,,4.38,4.09,43.0,44.0,7246.717107847316
Colorado,1978,4041160871,558285,29461,2611531,96820816072,,5.22,4.93,16.0,19.0,7238.526686190745
Connecticut,1978,4150997995,593757,35739,2866764,119296999045,,4.43,4.11,42.0,40.0,6991.072096834227
Delaware,1978,848052620,111034,6014,562381,20628879795,,5.16,4.85,19.0,20.0,7637.774195291532
District of Columbia,1978,978095495,113858,5964,622525,30158077037,,4.12,3.83,49.0,47.0,8590.485473133202
Florida,1978,8378280150,1513819,71856,8111944,292020242738,,3.81,3.39,51.0,50.0,5534.532298775481
Georgia,1978,5282853973,1093256,53000,4979308,149985313168,,4.41,4.16,38.0,42.0,4832.220425042259
Hawaii,1978,1181539070,170761,7940,885798,35510021301,,4.12,3.93,46.0,48.0,6919.255977652977
Idaho,1978,1032672925,203022,9830,854557,27086509173,,4.8,4.5,30.0,31.0,5086.507496724493
Illinois,1978,14468215068,2039430,112904,10628893,417771698462,,4.4,4.09,44.0,43.0,7094.244503611303
Indiana,1978,6132845656,1113331,53657,5071864,172112499405,,4.52,4.21,36.0,37.0,5508.555547272105
Iowa,1978,4032022141,568540,33511,2655601,97311394438,,5.38,4.89,18.0,13.0,7091.888241812361
Kansas,1978,2787334265,433538,26812,2127520,75408279970,,4.78,4.36,33.0,32.0,6429.2732470971405
Kentucky,1978,3412042782,692999,32835,3351367,96941775168,,4.48,4.15,39.0,38.0,4923.589762755791
Louisiana,1978,4280577649,816669,41756,3824400,113546088058,,4.74,4.45,32.0,33.0,5241.50867609766
Maine,1978,1253471111,240016,13878,1023861,30697832216,,5.25,4.82,20.0,18.0,5222.448132624491
Maryland,1978,6033235291,809933,42543,3970276,157116744198,,4.81,4.53,29.0,29.0,7449.054787247834
Massachusetts,1978,8894002576,1081464,66962,5266104,194084620046,,5.9,5.41,6.0,4.0,8224.03942803459
Michigan,1978,15457521217,1911345,87622,8630835,320334982469,,6.07,5.7,3.0,3.0,8087.248098590259
Minnesota,1978,5945259303,807716,44488,3684896,134795626821,,5.66,5.21,8.0,8.0,7360.581321900272
Mississippi,1978,2496877051,493710,25685,2307563,58383981235,,5.44,5.05,11.0,11.0,5057.37589070507
Missouri,1978,4941280913,900002,48800,4443970,151217509598,,4.23,3.86,48.0,46.0,5490.299924889056
Montana,1978,1167804043,164326,9682,731405,24154143416,,6.12,5.71,2.0,2.0,7106.629766439882
Nebraska,1978,1968827214,297796,17731,1420810,50806389605,,5.02,4.57,27.0,24.0,6611.328607503123
Nevada,1978,869885029,146281,6294,686382,28656201310,,3.76,3.58,50.0,51.0,5946.67133120501
New Hampshire,1978,946258959,172389,8874,829025,28120808590,,4.28,3.97,45.0,45.0,5489.091293528009
New Jersey,1978,11763944499,1337327,78000,6822238,276417709115,,5.42,5.02,13.0,12.0,8796.610327167551
New Mexico,1978,1656936176,279249,13909,1185215,35485829482,,5.82,5.51,4.0,6.0,5933.543812153312
New York,1978,28952696717,3093885,158146,16318640,628922655486,,5.9,5.43,5.0,5.0,9358.03907288086
North Carolina,1978,6179918196,1162810,55309,5386186,157588682966,,4.93,4.63,25.0,27.0,5314.641425512336
North Dakota,1978,762561505,122021,7381,598445,21248745589,,4.61,4.24,35.0,35.0,6249.428418059187
Ohio,1978,12296759403,2102440,102645,10051273,352386366798,,4.42,4.12,41.0,41.0,5848.803962538765
Oklahoma,1978,3412380323,588870,32136,2669445,86836733312,,5.06,4.64,24.0,22.0,5794.793966410243
Oregon,1978,3667876957,471374,24579,2322427,85517684285,,5.47,5.06,10.0,10.0,7781.245798453033
Pennsylvania,1978,15170155730,2046746,110833,10910226,389734173184,,5.0,4.59,26.0,25.0,7411.84090746971
Rhode Island,1978,1242077323,161285,9314,876033,29867775206,,5.36,4.91,17.0,15.0,7701.13354000682
South Carolina,1978,3109556198,624931,30022,2877636,78837966075,,4.92,4.66,23.0,28.0,4975.83924945314
South Dakota,1978,784006101,138228,8179,627618,20394496760,,4.98,4.54,28.0,26.0,5671.832776282664
